Distribution,Size,IngestionTimeMs,QueryTimeMs,MemorySavingsPercent
exponential,1000000,4.1557390000000005,19.206802,200.352
uniform,1000,4.249049,17.245163,200.352
exponential,10000000,4.803346,21.942429999999998,200.352
uniform,10000,3.680211,17.172498,200.352
uniform,100000,4.413496,19.22703,200.352
uniform,1000000,4.440692,19.642647999999998,200.34
uniform,10000000,4.42525,19.868049,200.352
normal,1000,5.100111,7.628125000000001,200.352
normal,10000,4.381831999999999,6.811762,200.352
normal,100000,4.711067,6.914999,200.352
normal,1000000,4.344887000000001,7.734198999999999,200.34
normal,10000000,4.076148,6.778214999999999,200.352
exponential,1000,4.594833,21.473935,200.352
exponential,10000,4.551897,21.7592,200.352
exponential,100000,4.52684,20.857411,200.352
exponential,1000000,4.565024,21.606685,200.352
exponential,10000000,4.553157000000001,22.417451,200.352
